id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
37023849,Room in 3BR1BA Brooklyn Apt 9mins> JLine Halsey St,Brooklyn,Bushwick,Private room,67,124,0.01,1,0.3438808390022134
46113818,"Blueground | Midtown, doorman, nr Rockefeller Plz",Manhattan,Midtown,Entire home/apt,305,205,0.03,1,0.34382870443142877
1349980168310018300,"New room, 2 bathroom with AC, laundry, closet,#140",Queens,Ridgewood,Private room,82,365,0.22,1,0.3437784511463353
692200007832969600,Easy access to Midtown Subway A/C/1,Manhattan,Washington Heights,Private room,45,39,0.03,1,0.3437543200688674
1016004482042560100,48-4FW Newly Renovated 2br Midtown West W/D,Manhattan,Hell's Kitchen,Entire home/apt,283,314,0.1,1,0.3437460630147563
1376174476409149e3,3BR/2bath/ Prime UES / WD,Manhattan,Upper East Side,Entire home/apt,298,301,0.2,1,0.3437250861796992
8.4711310924325606e+17,Vanderbilt by Rove Travel | Modern Design 2BR Loft,Manhattan,Tribeca,Entire home/apt,556,189,0.03,1,0.34361787325775456
1305946832620258800,Comfy Bedroom,Brooklyn,Clinton Hill,Private room,53,337,1,1,0.34344438076524103
1142821407662262300,Murray Hill Backyard 1 Bd,Manhattan,Murray Hill,Entire home/apt,149,179,0.33,1,0.3433554887258892
1495122739722625500,安静的小家,Staten Island,Tompkinsville,Entire home/apt,80,359,0.91,1,0.34326045351975154
50438495,3BR best location 1.5 bth fully furnished,Manhattan,Kips Bay,Entire home/apt,603,365,0.02,1,0.3430733371922878
1322047199905880600,Semi-basement room # 7,Brooklyn,East New York,Private room,40,185,0.14,1,0.3429032894953047
16405668,"Modern One Bedroom in Centralized, Convenient Chel",Manhattan,Midtown,Entire home/apt,377,336,0.01,1,0.3426737746445652
740725192615343200,Comfortable Brooklyn Studio!,Brooklyn,Crown Heights,Entire home/apt,118,316,0.35,1,0.3426114776398878
569546404049883500,Stunning One Bedroom in Flatiron District,Manhattan,Midtown,Entire home/apt,418,357,0.04,1,0.3424568388660554
1191497840686809600,Stylish 2-bedroom apartment in Williamsburg,Brooklyn,Williamsburg,Entire home/apt,281,302,0.16,1,0.34243394075192574
570195549062750600,Gorgeous Williamsburg Oasis,Brooklyn,Williamsburg,Entire home/apt,350,363,0.03,1,0.3424007164727142
20202650,Furnished one bedroom beauty in midtown NYC,Manhattan,Murray Hill,Entire home/apt,230,365,0.01,1,0.3423699414058082
